angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6454,80.336791,1644,40.546270,3.925791,0.027626
05,00,1,1,Average,5,6419,80.118662,1836,42.848571,3.496187,0.026466
10,00,1,1,Average,5,6290,79.309520,1967,44.350874,3.197763,0.025834
15,00,1,1,Average,5,6132,78.307088,2197,46.872167,2.791079,0.024865
20,00,1,1,Average,5,5995,77.427385,2439,49.386233,2.457975,0.024017
25,00,1,1,Average,5,5838,76.406806,2634,51.322510,2.216401,0.023472
30,00,1,1,Average,5,5827,76.334789,2776,52.687759,2.099063,0.023062
35,00,1,1,Average,5,5443,73.776690,2920,54.037024,1.864041,0.022939
40,00,1,1,Average,5,5072,71.217975,3091,55.596762,1.640893,0.022818
45,00,1,1,Average,5,4558,67.512962,3124,55.892754,1.459027,0.023227
50,00,1,1,Average,5,3877,62.265560,3027,55.018179,1.280806,0.024255
55,00,1,1,Average,5,3085,55.542776,2932,54.147945,1.052183,0.025792
60,00,1,1,Average,5,1986,44.564560,2711,52.067264,0.732571,0.029536
65,00,1,1,Average,5,863,29.376862,2648,51.458721,0.325906,0.039197
70,00,1,1,Average,5,164,12.806248,2376,48.744230,0.069024,0.080737
75,00,1,1,Average,5,12,3.464102,2234,47.265209,0.005372,0.289449
80,00,1,1,Average,5,0,0.000000,1941,44.056782,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1829,42.766810,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1580,39.749214,0.000000,-nan
