distance,led,tag,angle,relative_error
1,365,N2,0.0,0.009715971340773124
1,365,N2,5.0,0.014068829293421252
1,365,N2,10.0,0.01485390445546855
1,365,N2,15.0,0.001700939330582626
1,365,N2,20.0,0.024200904520389248
1,365,N2,25.0,0.03214037580801106
1,365,N2,30.0,0.003590831495631054
1,365,N2,35.0,0.012108103632835964
1,365,N2,40.0,0.027076352819168592
1,365,N2,45.0,0.037003820838581704
1,365,N2,50.0,0.059813221618591136
1,365,N2,55.0,0.08745568510755651
1,365,N2,60.0,0.16512601989223605
1,365,N2,65.0,0.39564098097946526
1,365,N2,70.0,0.8970780804544805
1,365,N2,75.0,1.2957617957956022
1,365,N1,0.0,0.004881700903422557
1,365,N1,5.0,0.006985277309691936
1,365,N1,10.0,0.007372199256046221
1,365,N1,15.0,0.0008511935796101218
1,365,N1,20.0,0.011955781892174997
1,365,N1,25.0,0.01581602146713482
1,365,N1,30.0,0.001792198007290104
1,365,N1,35.0,0.00601762082811303
1,365,N1,40.0,0.013357342352453493
1,365,N1,45.0,0.018165808262130975
1,365,N1,50.0,0.02903817734094842
1,365,N1,55.0,0.041895828367273874
1,365,N1,60.0,0.07626623964384975
1,365,N1,65.0,0.16515036439963807
1,365,N1,70.0,0.3096492588538557
1,365,N1,75.0,0.3931600267496889
1,365,P1,0.0,0.004929832842302423
1,365,P1,5.0,0.006889033688275225
1,365,P1,10.0,0.007265080020994554
1,365,P1,15.0,0.0008526451116995313
1,365,P1,20.0,0.011676576684012502
1,365,P1,25.0,0.015331068451644312
1,365,P1,30.0,0.0017857970036273152
1,365,P1,35.0,0.0059460585762458355
1,365,P1,40.0,0.013009789916750569
1,365,P1,45.0,0.017528953061431114
1,365,P1,50.0,0.027444311757329386
1,365,P1,55.0,0.038656717928153964
1,365,P1,60.0,0.06617274655112941
1,365,P1,65.0,0.12414513562561326
1,365,P1,70.0,0.1912243205732053
1,365,P1,75.0,0.22009495217807906
1,365,P2,0.0,0.009908512997397916
1,365,P2,5.0,0.013683799222721416
1,365,P2,10.0,0.014425358657014352
1,365,P2,15.0,0.0017067454715823226
1,365,P2,20.0,0.02308361575847687
1,365,P2,25.0,0.03019915164227913
1,365,P2,30.0,0.003565227235140866
1,365,P2,35.0,0.011821823895133147
1,365,P2,40.0,0.025685417942149832
1,365,P2,45.0,0.034453964201592434
1,365,P2,50.0,0.0534224803101765
1,365,P2,55.0,0.07443598498118592
1,365,P2,60.0,0.12413137883178114
1,365,P2,65.0,0.22087029813374318
1,365,P2,70.0,0.3210550981383424
1,365,P2,75.0,0.36078331737242536
1,415,N2,0.0,0.00922996557094758
1,415,N2,5.0,0.014129506925055206
1,415,N2,10.0,0.013878718481629021
1,415,N2,15.0,0.00192401755345235
1,415,N2,20.0,0.02355498052312617
1,415,N2,25.0,0.03281327296369716
1,415,N2,30.0,0.0036227295023310412
1,415,N2,35.0,0.010731503432975393
1,415,N2,40.0,0.02541256325397785
1,415,N2,45.0,0.0341745557109085
1,415,N2,50.0,0.05856314850066792
1,415,N2,55.0,0.08666908996426402
1,415,N2,60.0,0.16651848766701677
1,415,N2,65.0,0.40012829143410655
1,415,N2,70.0,0.9179616590549541
1,415,N2,75.0,1.307604984817208
1,415,N1,0.0,0.004636379597503296
1,415,N1,5.0,0.007015192854518456
1,415,N1,10.0,0.006891536394055015
1,415,N1,15.0,0.000962935128771528
1,415,N1,20.0,0.011640395615560026
1,415,N1,25.0,0.016141803775148456
1,415,N1,30.0,0.0018080896413222162
1,415,N1,35.0,0.005337114087412142
1,415,N1,40.0,0.012546857719273998
1,415,N1,45.0,0.016800208032768892
1,415,N1,50.0,0.028448555752745273
1,415,N1,55.0,0.04153465941537864
1,415,N1,60.0,0.07685994309069104
1,415,N1,65.0,0.16671120992246
1,415,N1,70.0,0.31459003452165174
1,415,N1,75.0,0.3953328740340714
