distance,led,tag,angle,relative_error
1,365,N1,-2,0.017434782675420344
1,365,N1,3,0.002953086869827388
1,365,N1,8,0.00674358227416205
1,365,N1,13,0.010383318232806306
1,365,N1,18,0.013055800379332056
1,365,N1,23,0.0027347710279775317
1,365,N1,28,0.017138370018600142
1,365,N1,33,0.002810974340528344
1,365,N1,38,0.006280868572304639
1,365,N1,43,0.00049414978350878
1,365,N1,48,0.005992829467622017
1,365,N1,53,0.0018950570878892036
1,365,N1,58,0.0019617396232106347
1,365,N1,63,0.00439732120324599
1,365,N1,68,0.009999097066115415
1,365,N1,73,0.1231285064571518
1,365,N2,-2,0.02715882792774765
1,365,N2,3,0.0008595449447540587
1,365,N2,8,0.023912254660377177
1,365,N2,13,0.020918743532665582
1,365,N2,18,0.0179488573103568
1,365,N2,23,0.00341024252860498
1,365,N2,28,0.021356928574094974
1,365,N2,33,0.005003052541132629
1,365,N2,38,0.013313681968446858
1,365,N2,43,0.018425396479772475
1,365,N2,48,0.0037316482467020583
1,365,N2,53,0.012768117933629473
1,365,N2,58,0.004076207015214964
1,365,N2,63,0.010089982828857593
1,365,N2,68,0.03234400356873637
1,365,N2,73,0.18899938509611972
1,365,N3,-2,0.045120200714406734
1,365,N3,3,0.0069558478892485206
1,365,N3,8,0.027015169926241072
1,365,N3,13,0.025743668623122166
1,365,N3,18,0.013121721447121532
1,365,N3,23,0.005557351371756382
1,365,N3,28,0.03907498824066726
1,365,N3,33,0.015541380235326993
1,365,N3,38,0.0031608126448009854
1,365,N3,43,0.018072279462748583
1,365,N3,48,0.003313491676932776
1,365,N3,53,0.007693195117215167
1,365,N3,58,0.008060779143226875
1,365,N3,63,0.0010304646175933146
1,365,N3,68,0.07446935753199752
1,365,N3,73,0.24182263445163638
1,365,P1,-2,0.011266681249867249
1,365,P1,3,0.024819339818223124
1,365,P1,8,0.0013865527050113608
1,365,P1,13,0.002345132149797099
1,365,P1,18,0.025718217214790992
1,365,P1,23,0.011811995652216736
1,365,P1,28,0.005337427574265821
1,365,P1,33,0.005203143098965991
1,365,P1,38,0.008829399342957069
1,365,P1,43,0.00041083232512249
1,365,P1,48,0.005393875301303428
1,365,P1,53,0.0004207432637243174
1,365,P1,58,0.008566126538000639
1,365,P1,63,0.011694271336143144
1,365,P1,68,0.026829913292767526
1,365,P1,73,0.05403935487113516
1,365,P2,-2,0.01607675767058972
1,365,P2,3,0.03982454400166704
1,365,P2,8,0.010434468430254083
1,365,P2,13,0.01228382113240866
1,365,P2,18,0.029029982696833573
1,365,P2,23,0.017147680854536454
1,365,P2,28,0.0026948966940415556
1,365,P2,33,0.003102526869613662
1,365,P2,38,0.010451972834707206
1,365,P2,43,0.007312010841273237
1,365,P2,48,0.005238672283141254
1,365,P2,53,0.018705808790122836
1,365,P2,58,0.015577381148274876
1,365,P2,63,0.01226502177125581
1,365,P2,68,0.05105108848116415
1,365,P2,73,0.03130475876879621
1,365,P3,-2,0.030680917068523224
1,365,P3,3,0.05071632797699122
1,365,P3,8,0.025121942245232294
1,365,P3,13,0.007858909417123654
1,365,P3,18,0.03616965657861942
1,365,P3,23,0.014608625083546482
1,365,P3,28,0.012742266833078927
1,365,P3,33,0.00515436127731294
1,365,P3,38,0.030180045126127916
1,365,P3,43,0.013185223465286772
1,365,P3,48,0.013949153311711156
1,365,P3,53,0.016358857613164135
1,365,P3,58,0.01005736710499767
1,365,P3,63,0.02072147678395942
1,365,P3,68,0.10004718250811195
1,365,P3,73,0.06360024675492913
1,415,N1,-2,0.01774226533606765
1,415,N1,3,0.0020381565508174188
1,415,N1,8,0.006814810430407512
1,415,N1,13,0.010778514712168216
1,415,N1,18,0.013208591762265598
1,415,N1,23,0.002888975781338174
1,415,N1,28,0.017547446574648507
1,415,N1,33,0.004009579588139685
1,415,N1,38,0.006692157904117785
1,415,N1,43,0.0009399406627897581
1,415,N1,48,0.006380348786745425
1,415,N1,53,0.0018339087788835611
1,415,N1,58,0.0026324448654873826
1,415,N1,63,0.004977467096268444
1,415,N1,68,0.008590046026312057
1,415,N1,73,0.1309435757496335
1,415,N2,-2,0.02810837704985956
1,415,N2,3,0.0007459518968233251
1,415,N2,8,0.024676638862250362
1,415,N2,13,0.02167471670565766
1,415,N2,18,0.01777067953629677
1,415,N2,23,0.003491660288942109
1,415,N2,28,0.02173848141142963
1,415,N2,33,0.003433152012131132
1,415,N2,38,0.013505039147737102
1,415,N2,43,0.018648432036314305
1,415,N2,48,0.0032181433300175247
1,415,N2,53,0.013000203534487761
1,415,N2,58,0.004128300807597441
1,415,N2,63,0.009399258365058673
1,415,N2,68,0.03009620184213704
1,415,N2,73,0.19390379414665743
1,415,N3,-2,0.046090228056051646
1,415,N3,3,0.008820047458635088
1,415,N3,8,0.028343327893413862
1,415,N3,13,0.02685950696359992
1,415,N3,18,0.011831288676681633
1,415,N3,23,0.006353005580806139
1,415,N3,28,0.03953992846338591
1,415,N3,33,0.017480509059392208
1,415,N3,38,0.0034684979036560325
1,415,N3,43,0.018245526231702672
1,415,N3,48,0.0023978708840014513
1,415,N3,53,0.006748611941300019
1,415,N3,58,0.008664886087819828
1,415,N3,63,0.00017004797878110133
1,415,N3,68,0.07423641491077364
1,415,N3,73,0.2493769008377979
1,415,P1,-2,0.01127348476689593
1,415,P1,3,0.02481913635520173
1,415,P1,8,0.0012940507361083036
1,415,P1,13,0.001777713808454575
1,415,P1,18,0.0263111595135745
1,415,P1,23,0.011654984960156147
1,415,P1,28,0.005621589072189235
1,415,P1,33,0.005399610793847138
1,415,P1,38,0.00910988685360673
1,415,P1,43,0.000153219748435192
1,415,P1,48,0.005218778252069041
1,415,P1,53,0.0006215293553328566
1,415,P1,58,0.007716652821859656
1,415,P1,63,0.012222488016434203
1,415,P1,68,0.02660141189057161
1,415,P1,73,0.05189313293598258
1,415,P2,-2,0.016696500632113108
1,415,P2,3,0.04016599989076515
1,415,P2,8,0.010697764540199144
1,415,P2,13,0.012477708434295649
1,415,P2,18,0.029841040532128393
1,415,P2,23,0.0170972421456009
1,415,P2,28,0.00256544902755671
1,415,P2,33,0.003425407663624428
1,415,P2,38,0.010832398265041643
1,415,P2,43,0.006564548286713806
1,415,P2,48,0.00530881511678371
1,415,P2,53,0.018077756228374275
1,415,P2,58,0.014471903527030285
1,415,P2,63,0.011983836718946338
1,415,P2,68,0.05100989464290863
1,415,P2,73,0.022505908024632947
1,415,P3,-2,0.03162426073889755
1,415,P3,3,0.05164996719013507
1,415,P3,8,0.025338531786683695
1,415,P3,13,0.007964683951390834
1,415,P3,18,0.03700408204087259
1,415,P3,23,0.015499669826309449
1,415,P3,28,0.01244021861540456
1,415,P3,33,0.005213882823555148
1,415,P3,38,0.030977596222795032
1,415,P3,43,0.012519771514133938
1,415,P3,48,0.014126150183328004
1,415,P3,53,0.015492153837641584
1,415,P3,58,0.009019114321088555
1,415,P3,63,0.021079429137634432
1,415,P3,68,0.09916806646011792
1,415,P3,73,0.052953786431147745
1,465,N1,-2,0.01789342306175064
1,465,N1,3,0.0018920601271318748
1,465,N1,8,0.006846521857091308
1,465,N1,13,0.010961951077730047
1,465,N1,18,0.013327183623054894
1,465,N1,23,0.0031853749292048063
1,465,N1,28,0.01769856504023417
1,465,N1,33,0.003984350191507836
1,465,N1,38,0.006895433022150634
1,465,N1,43,0.0009259815833351538
1,465,N1,48,0.006638182250810167
1,465,N1,53,0.0017844114222445929
1,465,N1,58,0.0030124334085355306
1,465,N1,63,0.005573256269885963
1,465,N1,68,0.008325228723583695
1,465,N1,73,0.1282288743355892
1,465,N2,-2,0.02845753216724981
1,465,N2,3,0.0012121603354171514
1,465,N2,8,0.025079707985936565
1,465,N2,13,0.02222856447829092
1,465,N2,18,0.017517514198964076
1,465,N2,23,0.0037946539596323214
1,465,N2,28,0.021877571795647754
1,465,N2,33,0.002950212076484734
1,465,N2,38,0.013151118028022627
1,465,N2,43,0.018606312518524855
1,465,N2,48,0.0029348328631509575
1,465,N2,53,0.012809392651364538
1,465,N2,58,0.00444835084079264
1,465,N2,63,0.008625389136732449
1,465,N2,68,0.030282645081852664
1,465,N2,73,0.19477227659025662
1,465,N3,-2,0.046637603034608746
1,465,N3,3,0.009437463185933064
1,465,N3,8,0.029024223211344853
1,465,N3,13,0.027329090013377463
1,465,N3,18,0.011117005231142525
1,465,N3,23,0.006748590706159588
1,465,N3,28,0.03996606937131208
1,465,N3,33,0.01759691040493719
1,465,N3,38,0.0031008913201824844
1,465,N3,43,0.01824861227886535
1,465,N3,48,0.0021590017349458917
1,465,N3,53,0.006247831226033736
1,465,N3,58,0.009000026302789156
1,465,N3,63,0.0012629815968338205
1,465,N3,68,0.07363669216266709
1,465,N3,73,0.24842505277983698
1,465,P1,-2,0.011363071506169145
1,465,P1,3,0.024779682005444455
1,465,P1,8,0.0014834327165568993
1,465,P1,13,0.001591219549607288
1,465,P1,18,0.02651534000774964
1,465,P1,23,0.011707942933686107
1,465,P1,28,0.005946127204865774
1,465,P1,33,0.006143161232634293
1,465,P1,38,0.009190891604881592
1,465,P1,43,3.433017807238732e-05
1,465,P1,48,0.005108758693167674
1,465,P1,53,0.0010064412015219275
1,465,P1,58,0.007426157048349673
1,465,P1,63,0.012339208821656714
1,465,P1,68,0.025721849589959326
1,465,P1,73,0.050333854561160275
1,465,P2,-2,0.01703331848686603
1,465,P2,3,0.040359888099346694
1,465,P2,8,0.010665360728252993
1,465,P2,13,0.012385368340479371
1,465,P2,18,0.030033573966471896
1,465,P2,23,0.0171702528422557
1,465,P2,28,0.002626450944719285
1,465,P2,33,0.003247392120150129
1,465,P2,38,0.010956147819314758
1,465,P2,43,0.006458263573331993
1,465,P2,48,0.005276221267812177
1,465,P2,53,0.017735161582060958
1,465,P2,58,0.014162379373538286
1,465,P2,63,0.011354042764961443
1,465,P2,68,0.04939877749775527
1,465,P2,73,0.02694477102396762
1,465,P3,-2,0.0322142232435551
1,465,P3,3,0.05220255551300282
1,465,P3,8,0.02539120789472011
1,465,P3,13,0.007963317324218799
1,465,P3,18,0.037411564622405476
1,465,P3,23,0.01586172083380855
1,465,P3,28,0.012400152120314365
1,465,P3,33,0.0052588990401160485
1,465,P3,38,0.03120756640579904
1,465,P3,43,0.012427952115948378
1,465,P3,48,0.014041148935126788
1,465,P3,53,0.015019713587147356
1,465,P3,58,0.008312956455608525
1,465,P3,63,0.02089363456382655
1,465,P3,68,0.09746025245390195
1,465,P3,73,0.05643965831764631
