distance,led,tag,angle,relative_error
1,365,N1,-2,0.0023539725270520363
1,365,N1,3,0.018501702704654448
1,365,N1,8,0.009426844035497671
1,365,N1,13,0.004864613517493713
1,365,N1,18,0.026163179357668397
1,365,N1,23,0.015435473749740134
1,365,N1,28,0.010358898940914223
1,365,N1,33,0.015199680902277683
1,365,N1,38,0.029910026854410167
1,365,N1,43,0.008110234026370707
1,365,N1,48,0.0032870502313955955
1,365,N1,53,0.0003492371673213522
1,365,N1,58,0.005029996702531484
1,365,N1,63,0.011828744760392869
1,365,N1,68,0.026128045449280483
1,365,N1,73,0.05664533521038868
1,365,N2,-2,0.0031501655926235144
1,365,N2,3,0.02788639944101952
1,365,N2,8,0.011480471085117537
1,365,N2,13,0.018067909671408554
1,365,N2,18,0.02024708285405328
1,365,N2,23,0.03129747098859219
1,365,N2,28,0.03132858689475796
1,365,N2,33,0.012889719567811634
1,365,N2,38,0.010298008889771944
1,365,N2,43,0.009849490377294327
1,365,N2,48,0.009679402261247524
1,365,N2,53,0.013384582236815813
1,365,N2,58,0.014642047246478572
1,365,N2,63,0.00810165558800017
1,365,N2,68,0.03681851109820169
1,365,N2,73,0.02418272285596844
1,365,N3,-2,0.009641899120615477
1,365,N3,3,0.053055170145453634
1,365,N3,8,0.026840876388132755
1,365,N3,13,0.0040987391562262105
1,365,N3,18,0.025823685366377306
1,365,N3,23,0.006569217962714593
1,365,N3,28,0.036275647119145306
1,365,N3,33,0.013831519866897643
1,365,N3,38,0.013793814946479207
1,365,N3,43,0.014355214557512265
1,365,N3,48,0.01113502815612773
1,365,N3,53,0.011221512024171097
1,365,N3,58,0.0026070009038293746
1,365,N3,63,0.007771252731978111
1,365,N3,68,0.06010619960183486
1,365,N3,73,0.0864799045679875
1,365,P1,-2,0.005841296452399049
1,365,P1,3,0.028810999740830106
1,365,P1,8,0.0006935995535133946
1,365,P1,13,0.003128039325740854
1,365,P1,18,0.005230234785118304
1,365,P1,23,0.0010585849193060946
1,365,P1,28,0.003575513287119561
1,365,P1,33,0.0036448022648492054
1,365,P1,38,0.00450460407859695
1,365,P1,43,0.008568868082695798
1,365,P1,48,0.016762649868378818
1,365,P1,53,0.01964980904535217
1,365,P1,58,0.023958186230382896
1,365,P1,63,0.030928174069715906
1,365,P1,68,0.00992823527058698
1,365,P1,73,0.07605198740782695
1,365,P2,-2,0.017690145684228914
1,365,P2,3,0.034318262575669764
1,365,P2,8,0.0036929494011317464
1,365,P2,13,0.01940096947352313
1,365,P2,18,0.01835901033980503
1,365,P2,23,0.0028139013191150622
1,365,P2,28,0.015601443482497894
