distance,led,tag,angle,relative_error
2,365,N2N1N1,-2,0.013176887322386515
2,365,N2N1N1,8,0.02160363744196438
2,365,N2N1N1,18,0.013010439424190709
2,365,N2N1N1,28,0.029870781875655318
2,365,N2N1N1,38,0.030777195754511735
2,365,N2N1N1,48,0.058741241722171975
2,365,N2N1N1,58,0.17939990307643605
2,365,N2N1N1,68,1.0
2,365,N2N1N1,69,0.6481318424472687
2,365,N2N1N1,70,0.3395758641827993
2,365,N2N1N1,78,nan
2,415,N2N1N1,-2,0.013527483944428273
2,415,N2N1N1,8,0.021349961532425084
2,415,N2N1N1,18,0.012359945048576645
2,415,N2N1N1,28,0.02973145099381137
2,415,N2N1N1,38,0.02862161684858121
2,415,N2N1N1,48,0.05791712621925887
2,415,N2N1N1,58,0.1802778048566544
2,415,N2N1N1,68,1.0
2,415,N2N1N1,69,0.664924625275437
2,415,N2N1N1,70,0.3402133498777442
2,415,N2N1N1,78,nan
2,465,N2N1N1,-2,0.01309333637513521
2,465,N2N1N1,8,0.021105916348846867
2,465,N2N1N1,18,0.011567836621086727
2,465,N2N1N1,28,0.02970526815835368
2,465,N2N1N1,38,0.027141784231687553
2,465,N2N1N1,48,0.05692440082231174
2,465,N2N1N1,58,0.18048918971425634
2,465,N2N1N1,68,1.0
2,465,N2N1N1,69,0.677185441162514
2,465,N2N1N1,70,0.341267942971683
2,465,N2N1N1,78,nan
2,480,N2N1N1,-2,0.013345433352394902
2,480,N2N1N1,8,0.020743951549354992
2,480,N2N1N1,18,0.011589295781728407
2,480,N2N1N1,28,0.02960752906214089
2,480,N2N1N1,38,0.0267727232600905
2,480,N2N1N1,48,0.05686331932257988
2,480,N2N1N1,58,0.18037850188924245
2,480,N2N1N1,68,1.0
2,480,N2N1N1,69,0.6765995075339704
2,480,N2N1N1,70,0.3395888352832445
2,480,N2N1N1,78,nan
