angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,6376,79.849859,1570,39.623226,4.061146,0.028174
05,00,1,1,Average,5,6144,78.383672,1754,41.880783,3.502851,0.027072
10,00,1,1,Average,5,6173,78.568442,2010,44.833024,3.071144,0.025681
15,00,1,1,Average,5,6194,78.701969,2179,46.679760,2.842588,0.024907
20,00,1,1,Average,5,6082,77.987178,2466,49.658836,2.466342,0.023873
25,00,1,1,Average,5,5781,76.032888,2604,51.029403,2.220046,0.023601
30,00,1,1,Average,5,5690,75.432089,2801,52.924474,2.031417,0.023082
35,00,1,1,Average,5,5329,73.000000,2993,54.708317,1.780488,0.022842
40,00,1,1,Average,5,4918,70.128454,2993,54.708317,1.643167,0.023183
45,00,1,1,Average,5,4547,67.431447,3127,55.919585,1.454109,0.023232
50,00,1,1,Average,5,3899,62.441973,3081,55.506756,1.265498,0.024105
55,00,1,1,Average,5,3047,55.199638,2950,54.313902,1.032881,0.025830
60,00,1,1,Average,5,2021,44.955534,2767,52.602281,0.730394,0.029261
65,00,1,1,Average,5,861,29.342802,2538,50.378567,0.339243,0.039439
70,00,1,1,Average,5,171,13.076697,2375,48.733972,0.072000,0.079177
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
