angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,0,Average,5,3236,56.885851,1632,40.398020,1.982843,0.030361
05,00,1,0,Average,5,3218,56.727418,1770,42.071368,1.818079,0.029593
10,00,1,0,Average,5,3151,56.133769,1979,44.485953,1.592218,0.028682
15,00,1,0,Average,5,3248,56.991227,2222,47.138095,1.461746,0.027530
20,00,1,0,Average,5,3151,56.133769,2397,48.959167,1.314560,0.027103
25,00,1,0,Average,5,3243,56.947344,2611,51.097945,1.242053,0.026294
30,00,1,0,Average,5,3116,55.821143,2771,52.640289,1.124504,0.026111
35,00,1,0,Average,5,3150,56.124861,2932,54.147945,1.074352,0.025662
40,00,1,0,Average,5,3150,56.124861,2956,54.369109,1.065629,0.025608
45,00,1,0,Average,5,3123,55.883808,3034,55.081757,1.029334,0.025491
50,00,1,0,Average,5,3124,55.892754,2999,54.763126,1.041681,0.025565
55,00,1,0,Average,5,3047,55.199638,2926,54.092513,1.041353,0.025883
60,00,1,0,Average,5,2990,54.680892,2807,52.981129,1.065194,0.026281
65,00,1,0,Average,5,2899,53.842363,2694,51.903757,1.076095,0.026761
70,00,1,0,Average,5,2850,53.385391,2396,48.948953,1.189482,0.027717
75,00,1,0,Average,5,2809,53.000000,2163,46.508064,1.298659,0.028606
80,00,1,0,Average,5,2734,52.287666,1999,44.710178,1.367684,0.029428
85,00,1,0,Average,5,2606,51.048996,1815,42.602817,1.435813,0.030573
90,00,1,0,Average,5,2448,49.477268,1591,39.887341,1.538655,0.032203
