angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,7528,86.764048,1570,39.623226,4.794904,0.027745
05,00,1,1,Average,5,7236,85.064681,1754,41.880783,4.125428,0.026614
10,00,1,1,Average,5,7299,85.434185,2010,44.833024,3.631343,0.025190
15,00,1,1,Average,5,7325,85.586214,2179,46.679760,3.361634,0.024402
20,00,1,1,Average,5,7125,84.409715,2466,49.658836,2.889294,0.023364
25,00,1,1,Average,5,6801,82.468176,2605,51.039201,2.610749,0.023042
30,00,1,1,Average,5,6645,81.516869,2802,52.933921,2.371520,0.022525
35,00,1,1,Average,5,6251,79.063266,2994,54.717456,2.087842,0.022226
40,00,1,1,Average,5,5816,76.262704,2994,54.717456,1.942552,0.022493
45,00,1,1,Average,5,5429,73.681748,3127,55.919585,1.736169,0.022450
50,00,1,1,Average,5,4647,68.168908,3082,55.515764,1.507787,0.023231
55,00,1,1,Average,5,3640,60.332413,2951,54.323107,1.233480,0.024771
60,00,1,1,Average,5,2382,48.805737,2768,52.611786,0.860549,0.027948
65,00,1,1,Average,5,1000,31.622777,2538,50.378567,0.394011,0.037336
70,00,1,1,Average,5,185,13.601471,2375,48.733972,0.077895,0.076331
75,00,1,1,Average,5,11,3.316625,2100,45.825757,0.005238,0.302300
80,00,1,1,Average,5,0,0.000000,1950,44.158804,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1816,42.614552,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1598,39.974992,0.000000,-nan
