angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,1,Average,5,5594,74.793048,1235,35.142567,4.529555,0.031440
05,00,1,1,Average,5,5580,74.699398,1314,36.249138,4.246575,0.030663
10,00,1,1,Average,5,5451,73.830888,1434,37.868192,3.801255,0.029678
15,00,1,1,Average,5,5300,72.801099,1600,40.000000,3.312500,0.028525
20,00,1,1,Average,5,5423,73.641021,1782,42.213742,3.043210,0.027305
25,00,1,1,Average,5,5097,71.393277,1976,44.452222,2.579453,0.026500
30,00,1,1,Average,5,4977,70.547856,2072,45.519227,2.402027,0.026145
35,00,1,1,Average,5,4748,68.905733,2154,46.411206,2.204271,0.025978
40,00,1,1,Average,5,4340,65.878676,2288,47.833043,1.896853,0.025836
45,00,1,1,Average,5,4089,63.945289,2210,47.010637,1.850226,0.026402
50,00,1,1,Average,5,3630,60.249481,2292,47.874837,1.583770,0.026679
55,00,1,1,Average,5,2676,51.730069,2189,46.786750,1.222476,0.028819
60,00,1,1,Average,5,1839,42.883563,2044,45.210618,0.899706,0.032140
65,00,1,1,Average,5,773,27.802878,1986,44.564560,0.389225,0.042393
70,00,1,1,Average,5,138,11.747340,1690,41.109610,0.081657,0.088533
75,00,1,1,Average,5,13,3.605551,1617,40.211939,0.008040,0.278463
80,00,1,1,Average,5,0,0.000000,1465,38.275318,0.000000,-nan
85,00,1,1,Average,5,0,0.000000,1297,36.013886,0.000000,-nan
90,00,1,1,Average,5,0,0.000000,1191,34.510868,0.000000,-nan
