angle,angle_error,distance,concentrator,led,ball/temperature,test_photon,test_photon_error,cali_photon,cali_photon_error,ratio,ratio_error
00,00,1,0,Average,5,2422,49.213819,1220,34.928498,1.985246,0.035108
05,00,1,0,Average,5,2386,48.846699,1315,36.262929,1.814449,0.034345
10,00,1,0,Average,5,2375,48.733972,1453,38.118237,1.634549,0.033306
15,00,1,0,Average,5,2358,48.559242,1641,40.509258,1.436929,0.032148
20,00,1,0,Average,5,2322,48.187135,1811,42.555846,1.282165,0.031350
25,00,1,0,Average,5,2369,48.672374,1913,43.737855,1.238369,0.030739
30,00,1,0,Average,5,2288,47.833043,2170,46.583259,1.054378,0.029965
35,00,1,0,Average,5,2371,48.692915,2166,46.540305,1.094645,0.029723
40,00,1,0,Average,5,2443,49.426713,2268,47.623524,1.077160,0.029159
45,00,1,0,Average,5,2378,48.764741,2311,48.072861,1.028992,0.029210
50,00,1,0,Average,5,2326,48.228622,2329,48.259714,0.998712,0.029314
55,00,1,0,Average,5,2222,47.138095,2202,46.925473,1.009083,0.030070
60,00,1,0,Average,5,2319,48.155997,2131,46.162756,1.088221,0.030008
65,00,1,0,Average,5,2200,46.904158,1935,43.988635,1.136951,0.031166
70,00,1,0,Average,5,2194,46.840154,1759,41.940434,1.247300,0.032005
75,00,1,0,Average,5,2172,46.604721,1600,40.000000,1.357500,0.032945
80,00,1,0,Average,5,2015,44.888751,1483,38.509739,1.358732,0.034214
85,00,1,0,Average,5,1879,43.347434,1273,35.679126,1.476041,0.036301
90,00,1,0,Average,5,1907,43.669211,1215,34.856850,1.569547,0.036707
